"COMMON.NAME","SP.CATEGORY","M.YEAR","SE.LINK","PRED.LINK","ITERATION"
"Long-tailed Shrike","R",2021,2.50152520357363,-2.69976390552897,101
"Gray Francolin","R",2018,2.16355928989052,-2.18983967384144,101
"Gray Francolin","R",2019,2.19909446918783,-2.13617530805915,101
"Gray Francolin","R",2020,2.17930311319439,-2.13586026259929,101
"Gray Francolin","R",2021,2.1570654673773,-2.13007858200982,101
"House Crow","U",2018,1.59283720699261,-1.07561552764936,102
"House Crow","U",2019,1.61310416139422,-1.10813460175793,102
"House Crow","U",2020,1.6692800448524,-1.26946920534001,102
"House Crow","U",2021,1.68509542954939,-1.28833975542916,102
"Common Myna","U",2018,1.43767595313846,-0.709745383377469,102
"Common Myna","U",2019,1.3956663666058,-0.697136751105271,102
"Common Myna","U",2020,1.40525347702864,-0.739845373022822,102
"Common Myna","U",2021,1.43142091604217,-0.720578024871431,102
"Jungle Myna","U",2018,1.92112977395309,-1.6697525603863,102
"Jungle Myna","U",2019,1.92039094034415,-1.70251195690268,102
"Jungle Myna","U",2020,1.92830792051792,-1.76959476104713,102
"Jungle Myna","U",2021,1.91778105604976,-1.67257920015029,102
"Rock Pigeon","U",2018,1.67291300036849,-1.23279013968477,102
"Rock Pigeon","U",2019,1.63381712164467,-1.17642728296482,102
"Rock Pigeon","U",2020,1.66462190602794,-1.2226851219159,102
"Rock Pigeon","U",2021,1.65378016206357,-1.20762820426136,102
"Black Kite","U",2018,1.99014725587729,-1.79658606313926,102
"Black Kite","U",2019,1.96729924923359,-1.79720850834241,102
"Black Kite","U",2020,2.02283027116294,-1.87789446249577,102
"Black Kite","U",2021,2.01750623610063,-1.90270485926452,102
"Common Tailorbird","U",2018,1.72896475288117,-1.26013041158015,102
"Common Tailorbird","U",2019,1.66045442875878,-1.21756274466636,102
"Common Tailorbird","U",2020,1.66723334367834,-1.20677871529566,102
"Common Tailorbird","U",2021,1.65120070630672,-1.16423100410765,102
"Rose-ringed Parakeet","U",2018,1.6678030814891,-1.24840456109976,102
"Rose-ringed Parakeet","U",2019,1.67539593367659,-1.21629725609009,102
"Rose-ringed Parakeet","U",2020,1.65125600756639,-1.20378935360551,102
"Rose-ringed Parakeet","U",2021,1.64775922473163,-1.20639946673025,102
"Asian Koel","U",2018,1.77669536478097,-1.31273622334716,102
"Asian Koel","U",2019,1.81877764848679,-1.34101363559121,102
"Asian Koel","U",2020,1.7940542151604,-1.319732816524,102
"Asian Koel","U",2021,1.78280919798762,-1.34894263341955,102
"Purple Sunbird","U",2018,1.92311210538203,-1.59800159007044,102
"Purple Sunbird","U",2019,1.92002946448187,-1.57841051929047,102
"Purple Sunbird","U",2020,1.91039526600765,-1.54573588661347,102
"Purple Sunbird","U",2021,1.8927675143761,-1.54181110921403,102
"Pale-billed Flowerpecker","U",2018,2.3124165250679,-2.41116981919295,102
"Pale-billed Flowerpecker","U",2019,2.22078273277591,-2.30482272153235,102
"Pale-billed Flowerpecker","U",2020,2.28637001659605,-2.44574000370846,102
"Pale-billed Flowerpecker","U",2021,2.28536958778744,-2.39100406779165,102
"White-cheeked Barbet","U",2018,1.72322398825206,-1.31524821370477,102
"White-cheeked Barbet","U",2019,1.73092095310961,-1.3231913626176,102
"White-cheeked Barbet","U",2020,1.70500194655445,-1.30430895786445,102
"White-cheeked Barbet","U",2021,1.71664609709684,-1.29909075840784,102
"Green Bee-eater","R",2018,1.57095935386155,-0.858350352313596,102
"Green Bee-eater","R",2019,1.50271910417389,-0.717409572328037,102
"Green Bee-eater","R",2020,1.42509945372609,-0.620756893721832,102
