date,time,state,cases
30/03/2020,9:30 PM,Bihar,15
30/03/2020,9:30 PM,Chandigarh,8
30/03/2020,9:30 PM,Chhattisgarh,7
30/03/2020,9:30 PM,Delhi,87
30/03/2020,9:30 PM,Goa,5
30/03/2020,9:30 PM,Gujarat,69
30/03/2020,9:30 PM,Haryana,36
30/03/2020,9:30 PM,Himachal Pradesh,3
30/03/2020,9:30 PM,Jammu and Kashmir,48
30/03/2020,9:30 PM,Karnataka,83
30/03/2020,9:30 PM,Kerala,202
30/03/2020,9:30 PM,Ladakh,13
30/03/2020,9:30 PM,Madhya Pradesh,47
30/03/2020,9:30 PM,Maharashtra,198
30/03/2020,9:30 PM,Manipur,1
30/03/2020,9:30 PM,Mizoram,1
30/03/2020,9:30 PM,Odisha,3
30/03/2020,9:30 PM,Puducherry,1
30/03/2020,9:30 PM,Punjab,38
30/03/2020,9:30 PM,Rajasthan,59
30/03/2020,9:30 PM,Tamil Nadu,67
30/03/2020,9:30 PM,Telengana,71
30/03/2020,9:30 PM,Uttarakhand,7
30/03/2020,9:30 PM,Uttar Pradesh,82
30/03/2020,9:30 PM,West Bengal,22
30/03/2020,9:30 PM,Unassigned,46
31/03/2020,8:30 PM,Andhra Pradesh,40
31/03/2020,8:30 PM,Andaman and Nicobar Islands,10
31/03/2020,8:30 PM,Bihar,15
31/03/2020,8:30 PM,Chandigarh,13
31/03/2020,8:30 PM,Chhattisgarh,8
31/03/2020,8:30 PM,Delhi,97
31/03/2020,8:30 PM,Goa,5
31/03/2020,8:30 PM,Gujarat,73
31/03/2020,8:30 PM,Haryana,40
31/03/2020,8:30 PM,Himachal Pradesh,3
31/03/2020,8:30 PM,Jammu and Kashmir,54
31/03/2020,8:30 PM,Karnataka,83
31/03/2020,8:30 PM,Kerala,234
31/03/2020,8:30 PM,Ladakh,13
31/03/2020,8:30 PM,Madhya Pradesh,47
31/03/2020,8:30 PM,Maharashtra,216
31/03/2020,8:30 PM,Manipur,1
31/03/2020,8:30 PM,Mizoram,1
31/03/2020,8:30 PM,Odisha,3
31/03/2020,8:30 PM,Puducherry,1
31/03/2020,8:30 PM,Punjab,41
31/03/2020,8:30 PM,Rajasthan,74
31/03/2020,8:30 PM,Tamil Nadu,74
31/03/2020,8:30 PM,Telengana,79
31/03/2020,8:30 PM,Uttarakhand,7
31/03/2020,8:30 PM,Uttar Pradesh,101
31/03/2020,8:30 PM,West Bengal,26
31/03/2020,8:30 PM,Unassigned,38
01/04/2020,7:30 PM,Andhra Pradesh,83
01/04/2020,7:30 PM,Andaman and Nicobar Islands,10
01/04/2020,7:30 PM,Assam,1
01/04/2020,7:30 PM,Bihar,23
01/04/2020,7:30 PM,Chandigarh,16
01/04/2020,7:30 PM,Chhattisgarh,9
01/04/2020,7:30 PM,Delhi,152
01/04/2020,7:30 PM,Goa,5
01/04/2020,7:30 PM,Gujarat,82
01/04/2020,7:30 PM,Haryana,43
01/04/2020,7:30 PM,Himachal Pradesh,3
01/04/2020,7:30 PM,Jammu and Kashmir,62
01/04/2020,7:30 PM,Jharkhand,1
01/04/2020,7:30 PM,Karnataka,101
